date,home_team,away_team,home_goals,away_goals,tournament
2020-04-07,Germany,Italy,2,1,Friendly
2020-04-08,Croatia,Peru,2,2,Continental Cup
2020-04-09,Serbia,Colombia,1,1,Continental Cup
2020-04-10,Qatar,Tunisia,0,1,WC Qualifier
2020-04-10,Uzbekistan,Wales,1,1,Continental Cup
2020-04-11,Croatia,Jamaica,2,0,WC Qualifier
2020-04-12,Denmark,Morocco,0,0,Friendly
2020-04-13,Australia,Germany,3,2,WC Qualifier
2020-04-14,Australia,Algeria,0,1,Friendly
2020-04-15,Ukraine,Iran,2,1,WC Qualifier
2020-04-16,Denmark,Iran,3,4,Friendly
2020-04-17,France,Tunisia,2,0,Nations League
2020-04-18,Nigeria,Germany,3,2,Friendly
2020-04-19,Denmark,Wales,4,3,Friendly
2020-04-19,New Zealand,Netherlands,1,5,Nations League
2020-04-20,France,Panama,3,0,WC Qualifier
2020-04-21,Austria,Chile,2,1,WC Qualifier
2020-04-22,Belgium,Chile,0,0,Friendly
2020-04-23,Qatar,South Korea,0,1,WC Qualifier
2020-04-24,Morocco,Curacao,4,4,Friendly
2020-04-25,Wales,Nigeria,0,0,WC Qualifier
2020-04-26,New Zealand,Austria,3,2,Continental Cup
2020-04-27,Denmark,Ukraine,0,0,Continental Cup
2020-04-28,England,Scotland,3,2,Friendly
2020-04-28,Costa Rica,Scotland,1,1,Nations League
2020-04-29,Costa Rica,Netherlands,1,2,WC Qualifier
2020-04-30,Australia,England,4,5,WC Qualifier
2020-05-01,Nigeria,Curacao,3,2,Friendly
2020-05-02,Japan,France,3,4,Friendly
2020-05-03,Canada,Portugal,0,2,Friendly
2020-05-04,Belgium,Australia,4,3,WC Qualifier
2020-05-05,Poland,Denmark,0,0,WC Qualifier
2020-05-06,Canada,United States,0,1,Friendly
2020-05-07,Cape Verde,Colombia,0,0,Friendly
2020-05-08,Iran,Cape Verde,3,2,Friendly
2020-05-08,Nigeria,Jamaica,1,2,Continental Cup
2020-05-09,Jamaica,Saudi Arabia,3,2,Friendly
2020-05-10,Tunisia,Ukraine,2,1,Friendly
2020-05-11,Portugal,Brazil,4,3,Friendly
2020-05-12,Denmark,Belgium,2,3,WC Qualifier
2020-05-13,Austria,Netherlands,2,3,Friendly
2020-05-14,Costa Rica,Serbia,0,0,WC Qualifier
2020-05-15,Jamaica,South Korea,2,1,WC Qualifier
2020-05-16,Iran,Germany,3,2,WC Qualifier
2020-05-17,Morocco,Cape Verde,2,0,Friendly
2020-05-17,Japan,Panama,1,3,Friendly
2020-05-18,Serbia,Ukraine,0,1,WC Qualifier
2020-05-19,Brazil,Canada,4,2,Nations League
2020-05-20,Serbia,Saudi Arabia,3,2,Friendly
2020-05-21,France,South Korea,2,1,Friendly
2020-05-22,Panama,Nigeria,4,5,Continental Cup
2020-05-23,Ukraine,Morocco,3,2,Friendly
2020-05-24,South Korea,Ecuador,1,2,WC Qualifier
2020-05-25,Costa Rica,Austria,1,2,Continental Cup
2020-05-26,New Zealand,Cape Verde,1,1,WC Qualifier
2020-05-26,Serbia,Turkey,1,0,WC Qualifier
2020-05-27,Costa Rica,Germany,2,3,Continental Cup
2020-05-28,Uzbekistan,Japan,1,0,Nations League
2020-05-29,South Korea,Cape Verde,1,0,Continental Cup
2020-05-30,South Korea,Colombia,0,2,Friendly
2020-05-31,Belgium,Jordan,1,0,WC Qualifier
2020-06-01,Ukraine,Portugal,2,2,WC Qualifier
2020-06-02,Qatar,Jamaica,2,1,Continental Cup
2020-06-03,United States,South Korea,3,2,Nations League
2020-06-04,Portugal,Turkey,2,0,WC Qualifier
2020-06-05,Poland,Portugal,1,3,Friendly
2020-06-05,Scotland,Germany,2,3,Friendly
2020-06-06,Croatia,Scotland,4,1,WC Qualifier
2020-06-07,Qatar,Netherlands,1,2,Continental Cup
2020-06-08,Mexico,Colombia,2,3,WC Qualifier
2020-06-09,Scotland,Peru,4,3,WC Qualifier
2020-06-10,Canada,Austria,1,2,Nations League
2020-06-11,Canada,Croatia,0,2,Friendly
2020-06-12,England,Uruguay,2,1,Friendly
2020-06-13,Canada,Cape Verde,2,1,Friendly
2020-06-14,Canada,Panama,1,2,Friendly
2020-06-14,Italy,United States,1,0,Nations League
2020-06-15,Canada,Colombia,1,1,WC Qualifier
2020-06-16,Curacao,Switzerland,2,2,WC Qualifier
2020-06-17,Wales,Nigeria,2,2,Continental Cup
2020-06-18,Italy,Algeria,5,4,WC Qualifier
2020-06-19,Chile,Denmark,1,1,Nations League
2020-06-20,England,Argentina,0,0,Nations League
2020-06-21,Serbia,Jordan,1,0,WC Qualifier
2020-06-22,Uruguay,Japan,2,1,WC Qualifier
2020-06-23,Iran,Germany,0,0,Friendly
2020-06-23,Curacao,Ecuador,3,2,Friendly
2020-06-24,Netherlands,Uruguay,3,2,WC Qualifier
2020-06-25,Netherlands,Austria,0,0,Friendly
2020-06-26,Switzerland,Scotland,3,1,Friendly
2020-06-27,Mexico,Ukraine,4,4,Friendly
2020-06-28,Curacao,Uzbekistan,1,2,Continental Cup
2020-06-29,Germany,Switzerland,1,3,WC Qualifier
2020-06-30,Wales,Egypt,2,1,WC Qualifier
2020-07-01,Portugal,Croatia,1,2,WC Qualifier
2020-07-02,Jamaica,Mexico,0,1,Friendly
2020-07-03,Panama,Canada,0,1,Friendly
2020-07-03,Switzerland,Turkey,3,2,Nations League
2020-07-04,France,Switzerland,3,2,WC Qualifier
2020-07-05,United States,Canada,2,2,Continental Cup
2020-07-06,Costa Rica,Qatar,1,0,Friendly
2020-07-07,Wales,Costa Rica,2,0,Continental Cup
2020-07-08,Argentina,Switzerland,3,1,Continental Cup
2020-07-09,Turkey,Portugal,1,2,Friendly
2020-07-10,Germany,Costa Rica,1,0,Nations League
2020-07-11,Netherlands,Ukraine,3,2,WC Qualifier
2020-07-12,Uruguay,Senegal,1,0,WC Qualifier
2020-07-12,Scotland,Brazil,1,1,Friendly
2020-07-13,Italy,Switzerland,2,3,Friendly
2020-07-14,Egypt,Uruguay,0,1,Friendly
2020-07-15,Curacao,Austria,0,1,Continental Cup
2020-07-16,Spain,Qatar,3,2,WC Qualifier
2020-07-17,Serbia,Italy,0,2,Friendly
2020-07-18,Qatar,Uzbekistan,5,6,Friendly
2020-07-19,Iran,Algeria,2,0,Continental Cup
2020-07-20,Jordan,Canada,1,1,WC Qualifier
2020-07-21,Poland,Uruguay,2,0,Friendly
2020-07-21,Denmark,Cape Verde,2,1,Continental Cup
2020-07-22,Mexico,South Korea,2,1,Nations League
2020-07-23,Brazil,Uruguay,3,2,Friendly
2020-07-24,Poland,Netherlands,1,2,Friendly
2020-07-25,Japan,Wales,3,4,Nations League
2020-07-26,Egypt,Australia,5,4,Nations League
2020-07-27,Morocco,Qatar,2,0,Friendly
2020-07-28,Jamaica,Chile,2,3,Nations League
2020-07-29,Costa Rica,Scotland,2,2,Continental Cup
2020-07-30,Italy,Croatia,0,1,Continental Cup
2020-07-30,Nigeria,Tunisia,3,2,WC Qualifier
2020-07-31,Japan,Canada,2,1,WC Qualifier
2020-08-01,Algeria,Morocco,1,2,Friendly
2020-08-02,Ecuador,Costa Rica,1,1,Nations League
2020-08-03,Ukraine,Colombia,1,1,Nations League
2020-08-04,Belgium,Nigeria,3,3,Continental Cup
2020-08-05,Colombia,New Zealand,2,2,Continental Cup
2020-08-06,Costa Rica,Netherlands,0,2,WC Qualifier
2020-08-07,England,Peru,3,2,WC Qualifier
2020-08-08,Italy,South Korea,0,0,Continental Cup
2020-08-09,Morocco,Argentina,1,2,WC Qualifier
2020-08-09,Qatar,England,1,1,WC Qualifier
2020-08-10,New Zealand,Nigeria,2,1,Nations League
2020-08-11,Colombia,Jamaica,2,1,Friendly
2020-08-12,Scotland,Austria,1,0,Friendly
2020-08-13,Costa Rica,Germany,2,0,WC Qualifier
2020-08-14,Ecuador,Scotland,2,1,Friendly
2020-08-15,Portugal,Switzerland,1,0,WC Qualifier
2020-08-16,Qatar,Curacao,2,1,Friendly
2020-08-17,Belgium,Jordan,3,1,WC Qualifier
2020-08-18,Ecuador,Saudi Arabia,3,1,Nations League
2020-08-18,Egypt,Canada,1,1,Continental Cup
2020-08-19,Nigeria,Denmark,1,1,Nations League
2020-08-20,Colombia,Mexico,2,1,Friendly
2020-08-21,Spain,Australia,3,2,Friendly
2020-08-22,Portugal,Cape Verde,3,3,Nations League
2020-08-23,Nigeria,Italy,1,1,Friendly
2020-08-24,Australia,Uzbekistan,2,3,Nations League
2020-08-25,Canada,Ukraine,1,1,Continental Cup
2020-08-26,Argentina,Wales,2,1,WC Qualifier
2020-08-27,Cape Verde,Egypt,1,1,WC Qualifier
2020-08-27,Switzerland,Algeria,1,0,WC Qualifier
2020-08-28,Netherlands,Panama,2,0,WC Qualifier
2020-08-29,Senegal,Netherlands,1,2,Friendly
2020-08-30,Cape Verde,Chile,2,1,Friendly
2020-08-31,Egypt,Jamaica,2,1,Friendly
2020-09-01,Chile,Cape Verde,5,1,Nations League
2020-09-02,Australia,Netherlands,1,2,WC Qualifier
2020-09-03,Turkey,Australia,1,0,Continental Cup
2020-09-04,Uzbekistan,Spain,2,2,Nations League
2020-09-05,Poland,Tunisia,1,0,Continental Cup
2020-09-06,Poland,Nigeria,1,2,Nations League
2020-09-06,Japan,Curacao,2,1,Friendly
2020-09-07,Panama,Peru,4,1,Friendly
2020-09-08,England,Wales,3,2,Nations League
2020-09-09,Senegal,Netherlands,3,4,Nations League
2020-09-10,Egypt,Japan,0,2,Friendly
2020-09-11,Canada,United States,0,0,Friendly
2020-09-12,Belgium,Uruguay,2,2,WC Qualifier
2020-09-13,Costa Rica,Algeria,0,1,Friendly
2020-09-14,Chile,Egypt,1,1,Continental Cup
2020-09-15,Saudi Arabia,Spain,2,3,WC Qualifier
2020-09-15,Saudi Arabia,Uzbekistan,3,4,Continental Cup
2020-09-16,United States,Peru,0,2,Continental Cup
2020-09-17,Egypt,Serbia,1,1,WC Qualifier
2020-09-18,Morocco,Japan,1,2,Continental Cup
2020-09-19,Peru,Tunisia,2,2,WC Qualifier
2020-09-20,Croatia,Spain,1,1,Friendly
2020-09-21,Scotland,Qatar,2,2,Continental Cup
2020-09-22,Nigeria,Cape Verde,3,2,WC Qualifier
2020-09-23,New Zealand,Turkey,0,0,Continental Cup
2020-09-24,Peru,Austria,1,0,Friendly
2020-09-24,England,Belgium,2,1,Friendly
2020-09-25,Cape Verde,Croatia,1,2,Continental Cup
2020-09-26,Curacao,Panama,2,3,Continental Cup
2020-09-27,Portugal,Morocco,2,1,Friendly
2020-09-28,Costa Rica,Chile,3,3,Nations League
2020-09-29,Iran,Portugal,0,0,WC Qualifier
2020-09-30,Egypt,Serbia,1,2,Continental Cup
2020-10-01,Peru,Costa Rica,2,1,Friendly
2020-10-02,Scotland,Croatia,1,1,Continental Cup
2020-10-03,Brazil,Scotland,3,0,WC Qualifier
2020-10-04,England,Netherlands,2,1,WC Qualifier
2020-10-04,Costa Rica,Colombia,2,3,Friendly
2020-10-05,Ecuador,Canada,4,3,Continental Cup
2020-10-06,Mexico,Switzerland,2,2,WC Qualifier
2020-10-07,Australia,Netherlands,2,4,WC Qualifier
2020-10-08,Costa Rica,New Zealand,1,2,Friendly
2020-10-09,Belgium,Turkey,5,1,Friendly
2020-10-10,Netherlands,Curacao,4,3,Friendly
2020-10-11,Saudi Arabia,Australia,1,0,Friendly
2020-10-12,Cape Verde,Jamaica,1,2,Friendly
2020-10-13,Scotland,Panama,1,2,Friendly
2020-10-13,South Korea,Serbia,1,1,Friendly
2020-10-14,New Zealand,South Korea,3,4,WC Qualifier
2020-10-15,Saudi Arabia,United States,0,1,Nations League
2020-10-16,England,Turkey,2,1,WC Qualifier
2020-10-17,England,Scotland,2,1,Friendly
2020-10-18,Turkey,Tunisia,0,0,Friendly
2020-10-19,Portugal,Argentina,2,2,WC Qualifier
2020-10-20,Algeria,Wales,4,5,Friendly
2020-10-21,Senegal,Serbia,2,3,Nations League
2020-10-22,Austria,Colombia,2,1,Friendly
2020-10-22,Ecuador,Uruguay,0,0,Continental Cup
2020-10-23,Morocco,France,0,0,Friendly
2020-10-24,Netherlands,Ukraine,3,2,Continental Cup
2020-10-25,Algeria,Germany,3,4,Friendly
2020-10-26,Poland,Ukraine,4,3,WC Qualifier
2020-10-27,Curacao,Argentina,1,2,Nations League
2020-10-28,Serbia,Egypt,3,2,Friendly
2020-10-29,Switzerland,Spain,0,3,Friendly
2020-10-30,Poland,Ecuador,1,1,WC Qualifier
2020-10-31,Argentina,Morocco,2,1,Friendly
2020-11-01,Brazil,Jamaica,3,0,WC Qualifier
2020-11-01,Costa Rica,Switzerland,1,0,WC Qualifier
2020-11-02,Argentina,Netherlands,2,1,Nations League
2020-11-03,Curacao,Ecuador,0,1,WC Qualifier
2020-11-04,Tunisia,Saudi Arabia,1,1,Continental Cup
2020-11-05,Belgium,Costa Rica,5,0,WC Qualifier
2020-11-06,Denmark,Jamaica,2,1,Nations League
2020-11-07,Ukraine,Jamaica,3,1,Friendly
2020-11-08,Austria,Saudi Arabia,0,0,Continental Cup
2020-11-09,Nigeria,Croatia,1,2,WC Qualifier
2020-11-10,Ukraine,Spain,2,5,Continental Cup
2020-11-10,Costa Rica,United States,0,1,WC Qualifier
2020-11-11,Costa Rica,Poland,0,2,Continental Cup
2020-11-12,Scotland,Netherlands,1,3,WC Qualifier
2020-11-13,Qatar,Wales,1,1,Continental Cup
2020-11-14,Croatia,Algeria,3,2,Continental Cup
2020-11-15,Senegal,Turkey,5,4,Friendly
2020-11-16,South Korea,Uzbekistan,3,4,Friendly
2020-11-17,Ecuador,Scotland,2,3,Friendly
2020-11-18,United States,Jordan,2,1,Nations League
2020-11-19,Argentina,Denmark,1,1,Nations League
2020-11-19,Colombia,Jordan,4,1,Friendly
2020-11-20,Curacao,Jamaica,1,0,WC Qualifier
2020-11-21,Italy,England,0,2,Friendly
2020-11-22,France,Portugal,2,1,Friendly
2020-11-23,Serbia,Senegal,2,2,Nations League
2020-11-24,Egypt,Wales,2,2,Friendly
2020-11-25,Uruguay,Switzerland,2,1,Friendly
2020-11-26,Australia,Jamaica,3,2,Nations League
2020-11-27,Wales,Qatar,0,1,Continental Cup
2020-11-28,Tunisia,Cape Verde,3,2,WC Qualifier
2020-11-28,Austria,Ecuador,1,2,Continental Cup
2020-11-29,Scotland,Japan,3,4,Friendly
2020-11-30,Uruguay,Jamaica,2,1,Nations League
2020-12-01,Algeria,Chile,1,2,Nations League
2020-12-02,Mexico,Jordan,2,1,WC Qualifier
2020-12-03,Austria,Uruguay,2,3,Nations League
2020-12-04,Colombia,Mexico,2,2,Continental Cup
2020-12-05,Netherlands,Italy,1,1,Nations League
2020-12-06,Uruguay,Austria,3,2,Friendly
2020-12-07,Serbia,France,2,2,Friendly
2020-12-08,England,Jordan,4,0,Continental Cup
2020-12-08,Brazil,Jordan,2,1,Friendly
2020-12-09,Belgium,Iran,0,0,WC Qualifier
2020-12-10,Switzerland,Austria,2,3,Nations League
2020-12-11,Portugal,Morocco,2,1,Continental Cup
2020-12-12,Curacao,Japan,2,3,Friendly
2020-12-13,Jordan,Brazil,1,4,Friendly
2020-12-14,Colombia,Uzbekistan,1,0,Friendly
2020-12-15,Senegal,Spain,0,1,Friendly
2020-12-16,France,Morocco,2,1,WC Qualifier
2020-12-17,France,Canada,3,2,Nations League
2020-12-17,Egypt,Germany,0,0,WC Qualifier
2020-12-18,Uzbekistan,Nigeria,0,1,Continental Cup
2020-12-19,Saudi Arabia,United States,2,1,Friendly
2020-12-20,France,Senegal,4,1,WC Qualifier
2020-12-21,Belgium,Wales,1,1,Continental Cup
2020-12-22,New Zealand,Jordan,2,3,WC Qualifier
2020-12-23,Austria,South Korea,3,2,WC Qualifier
2020-12-24,Tunisia,Brazil,0,0,Friendly
2020-12-25,Italy,Uzbekistan,1,0,Continental Cup
2020-12-26,Saudi Arabia,Australia,2,1,Friendly
2020-12-26,South Korea,Poland,2,1,WC Qualifier
2020-12-27,Wales,Brazil,3,4,WC Qualifier
2020-12-28,Belgium,England,0,0,WC Qualifier
2020-12-29,Japan,Nigeria,2,1,WC Qualifier
2020-12-30,Saudi Arabia,Croatia,1,2,Friendly
2020-12-31,Mexico,United States,1,1,Friendly
2021-01-01,Brazil,Chile,3,2,Friendly
2021-01-02,Curacao,Uzbekistan,2,2,Continental Cup
2021-01-03,Senegal,Colombia,2,2,WC Qualifier
2021-01-04,Italy,Switzerland,1,1,Continental Cup
2021-01-05,Serbia,Spain,2,3,WC Qualifier
2021-01-05,Ukraine,Italy,0,1,WC Qualifier
2021-01-06,Nigeria,Morocco,4,4,Friendly
2021-01-07,England,Ecuador,2,1,Friendly
2021-01-08,Curacao,Brazil,1,2,Nations League
2021-01-09,Qatar,Peru,2,3,Friendly
2021-01-10,Qatar,Uruguay,3,4,Friendly
2021-01-11,England,Curacao,4,0,Friendly
2021-01-12,Uruguay,Chile,1,0,Nations League
2021-01-13,Mexico,United States,2,1,WC Qualifier
2021-01-14,Nigeria,Australia,1,1,WC Qualifier
2021-01-14,Jordan,Tunisia,1,1,Continental Cup
2021-01-15,Japan,Austria,2,3,Friendly
2021-01-16,Curacao,Chile,1,0,Nations League
2021-01-17,Australia,France,0,2,WC Qualifier
2021-01-18,Wales,Nigeria,3,4,Continental Cup
2021-01-19,Saudi Arabia,Uzbekistan,1,1,WC Qualifier
2021-01-20,Iran,Switzerland,4,3,Continental Cup
2021-01-21,Australia,Jordan,3,0,Continental Cup
2021-01-22,Jordan,Tunisia,1,1,Nations League
2021-01-23,Mexico,Portugal,1,2,Nations League
2021-01-23,Denmark,Canada,2,1,Friendly
2021-01-24,Serbia,Wales,1,2,Continental Cup
2021-01-25,Scotland,Iran,3,4,WC Qualifier
2021-01-26,Italy,Wales,1,0,Friendly
2021-01-27,Argentina,Panama,5,2,WC Qualifier
2021-01-28,France,Uzbekistan,0,0,WC Qualifier
2021-01-29,Poland,Ukraine,0,1,Nations League
2021-01-30,Ecuador,Senegal,3,1,WC Qualifier
2021-01-31,Brazil,Denmark,2,0,Friendly
2021-02-01,Ukraine,Portugal,0,4,Friendly
2021-02-02,Ukraine,Netherlands,2,3,Nations League
2021-02-02,United States,Croatia,0,0,WC Qualifier
2021-02-03,Morocco,Mexico,1,0,Friendly
2021-02-04,Cape Verde,Senegal,2,3,Friendly
2021-02-05,Saudi Arabia,Japan,1,2,Nations League
2021-02-06,Saudi Arabia,Algeria,0,3,Friendly
2021-02-07,Curacao,Costa Rica,3,3,Friendly
2021-02-08,England,Uruguay,1,0,Friendly
2021-02-09,Mexico,France,1,2,Nations League
2021-02-10,Iran,Wales,3,3,Continental Cup
2021-02-11,South Korea,Morocco,0,1,Continental Cup
2021-02-11,Panama,Nigeria,3,2,Nations League
2021-02-12,Australia,Ukraine,3,2,Friendly
2021-02-13,Chile,Turkey,5,4,Nations League
2021-02-14,Peru,Scotland,2,1,WC Qualifier
2021-02-15,Saudi Arabia,South Korea,1,1,WC Qualifier
2021-02-16,Jamaica,Colombia,1,2,Friendly
2021-02-17,Scotland,Curacao,2,1,Friendly
2021-02-18,Brazil,Jamaica,2,1,Friendly
2021-02-19,Iran,Tunisia,1,3,Friendly
2021-02-20,Switzerland,Canada,3,4,Friendly
2021-02-20,Uzbekistan,Ecuador,1,2,Friendly
2021-02-21,Colombia,Serbia,2,1,Friendly
2021-02-22,Uruguay,United States,1,2,WC Qualifier
2021-02-23,Italy,Panama,2,2,Continental Cup
2021-02-24,Costa Rica,Nigeria,1,2,WC Qualifier
2021-02-25,Ukraine,Morocco,1,3,Nations League
2021-02-26,Ecuador,Costa Rica,1,0,WC Qualifier
2021-02-27,Poland,Mexico,2,2,Continental Cup
2021-02-28,Panama,Croatia,2,3,Friendly
2021-03-01,Panama,Senegal,2,3,WC Qualifier
2021-03-01,Colombia,Italy,3,2,Continental Cup
2021-03-02,Saudi Arabia,Portugal,1,2,Continental Cup
2021-03-03,Belgium,Panama,2,1,Friendly
2021-03-04,Senegal,Turkey,1,2,Friendly
2021-03-05,Austria,Senegal,2,3,WC Qualifier
2021-03-06,Wales,Jamaica,2,3,Friendly
2021-03-07,Jamaica,Nigeria,2,1,Friendly
2021-03-08,Algeria,Poland,1,0,Friendly
2021-03-09,Iran,Jordan,2,0,Continental Cup
2021-03-10,Cape Verde,Australia,2,3,Friendly
2021-03-11,Chile,Costa Rica,1,2,Friendly
2021-03-11,England,Uzbekistan,2,2,Nations League
2021-03-12,Italy,England,1,2,Friendly
2021-03-13,Jamaica,Portugal,5,4,Nations League
2021-03-14,Italy,Panama,2,1,Nations League
2021-03-15,Poland,Algeria,0,0,WC Qualifier
2021-03-16,Nigeria,Canada,2,0,Friendly
2021-03-17,Belgium,Costa Rica,2,1,WC Qualifier
2021-03-18,Curacao,New Zealand,1,1,WC Qualifier
2021-03-19,Cape Verde,Costa Rica,0,0,Friendly
2021-03-20,Peru,Nigeria,1,0,Friendly
2021-03-20,Colombia,Qatar,4,1,WC Qualifier
2021-03-21,Peru,Brazil,0,1,Continental Cup
2021-03-22,Uzbekistan,Denmark,1,1,WC Qualifier
2021-03-23,Ecuador,Brazil,3,4,Friendly
2021-03-24,Turkey,Colombia,4,3,Nations League
2021-03-25,Nigeria,Algeria,1,1,WC Qualifier
2021-03-26,United States,Cape Verde,5,0,Continental Cup
2021-03-27,Austria,Peru,2,3,WC Qualifier
2021-03-28,Brazil,Serbia,3,2,Friendly
2021-03-29,Tunisia,Portugal,0,2,Continental Cup
2021-03-29,Portugal,Spain,3,2,WC Qualifier
2021-03-30,Argentina,Colombia,2,0,Continental Cup
2021-03-31,Portugal,Uzbekistan,4,0,WC Qualifier
2021-04-01,Spain,Morocco,5,0,Friendly
2021-04-02,Scotland,New Zealand,0,1,WC Qualifier
2021-04-03,Belgium,Colombia,2,0,Nations League
2021-04-04,Costa Rica,Algeria,3,3,Continental Cup
2021-04-05,Japan,Serbia,5,6,Friendly
2021-04-06,Wales,Chile,2,3,Continental Cup
2021-04-07,Germany,Peru,1,0,WC Qualifier
2021-04-08,Switzerland,Costa Rica,1,2,Nations League
2021-04-08,Australia,Canada,3,0,Nations League
2021-04-09,Argentina,Portugal,1,1,WC Qualifier
2021-04-10,Jordan,United States,0,1,Friendly
2021-04-11,Tunisia,Italy,1,3,Nations League
2021-04-12,Austria,Belgium,1,2,Nations League
2021-04-13,Canada,Ukraine,1,1,Nations League
2021-04-14,Chile,Brazil,1,2,WC Qualifier
2021-04-15,Serbia,Costa Rica,1,0,Continental Cup
2021-04-16,Portugal,Italy,2,1,Friendly
2021-04-17,Nigeria,Australia,2,2,Friendly
2021-04-17,Argentina,Algeria,2,2,WC Qualifier
2021-04-18,Poland,Saudi Arabia,1,0,WC Qualifier
2021-04-19,Mexico,Netherlands,1,1,Friendly
2021-04-20,Brazil,Qatar,4,1,Friendly
2021-04-21,Saudi Arabia,Iran,4,0,Friendly
2021-04-22,Turkey,Ukraine,1,1,Friendly
2021-04-23,Peru,Costa Rica,1,2,Friendly
2021-04-24,Mexico,Tunisia,1,1,Continental Cup
2021-04-25,Panama,England,0,4,Friendly
2021-04-26,Argentina,Uruguay,2,1,WC Qualifier
2021-04-26,Denmark,Mexico,0,0,Continental Cup
2021-04-27,Portugal,Scotland,3,0,WC Qualifier
2021-04-28,Tunisia,Egypt,1,1,WC Qualifier
2021-04-29,New Zealand,Uruguay,1,1,Continental Cup
2021-04-30,Germany,Australia,0,0,Friendly
2021-05-01,Jordan,Colombia,0,2,WC Qualifier
2021-05-02,Portugal,Nigeria,2,1,Continental Cup
2021-05-03,Denmark,Germany,0,0,Friendly
2021-05-04,Turkey,Peru,0,0,WC Qualifier
2021-05-05,Peru,Spain,0,1,WC Qualifier
2021-05-06,Tunisia,Egypt,2,1,WC Qualifier
2021-05-06,Brazil,Argentina,2,3,Friendly
2021-05-07,Qatar,Mexico,2,1,Friendly
2021-05-08,Jamaica,Morocco,1,2,WC Qualifier
2021-05-09,Jordan,Chile,0,3,Nations League
2021-05-10,Netherlands,Nigeria,4,1,Continental Cup
2021-05-11,Nigeria,Senegal,1,2,WC Qualifier
2021-05-12,Croatia,Saudi Arabia,1,0,Friendly
2021-05-13,Canada,Colombia,1,0,WC Qualifier
2021-05-14,Curacao,Morocco,1,2,Nations League
2021-05-15,South Korea,Denmark,0,1,Continental Cup
2021-05-15,France,Japan,3,4,Friendly
2021-05-16,Netherlands,Austria,1,0,WC Qualifier
2021-05-17,Croatia,Saudi Arabia,6,5,WC Qualifier
2021-05-18,Jamaica,Belgium,1,6,Nations League
2021-05-19,Poland,Jamaica,2,1,Nations League
2021-05-20,Iran,Curacao,3,2,Continental Cup
2021-05-21,Uzbekistan,Japan,3,4,Friendly
2021-05-22,Panama,Serbia,1,1,WC Qualifier
2021-05-23,Ukraine,Egypt,3,1,WC Qualifier
2021-05-24,United States,Chile,2,3,WC Qualifier
2021-05-24,France,Wales,3,2,WC Qualifier
2021-05-25,Senegal,Panama,3,3,WC Qualifier
2021-05-26,Uzbekistan,Qatar,0,1,WC Qualifier
2021-05-27,Belgium,Turkey,1,0,Nations League
2021-05-28,Spain,Curacao,3,1,WC Qualifier
2021-05-29,Panama,Belgium,0,1,Friendly
2021-05-30,Algeria,Saudi Arabia,2,1,WC Qualifier
2021-05-31,Ukraine,Switzerland,4,3,Friendly
2021-06-01,Jamaica,Jordan,1,1,Nations League
2021-06-02,Netherlands,Peru,2,3,WC Qualifier
2021-06-03,Jamaica,Nigeria,1,2,Friendly
2021-06-03,Portugal,New Zealand,2,1,WC Qualifier
2021-06-04,Uzbekistan,South Korea,0,0,Friendly
2021-06-05,Algeria,Canada,2,1,WC Qualifier
2021-06-06,Australia,Croatia,4,5,WC Qualifier
2021-06-07,Cape Verde,Iran,3,2,WC Qualifier
2021-06-08,Croatia,Turkey,3,2,WC Qualifier
2021-06-09,Denmark,Senegal,1,2,WC Qualifier
2021-06-10,Uruguay,Ecuador,2,3,Friendly
2021-06-11,Ukraine,Cape Verde,2,0,WC Qualifier
2021-06-12,Peru,Italy,2,2,Friendly
2021-06-12,Turkey,Peru,1,1,Nations League
2021-06-13,Italy,Iran,3,2,Friendly
2021-06-14,New Zealand,Wales,0,3,Friendly
2021-06-15,Wales,Brazil,0,1,Friendly
2021-06-16,England,Chile,3,2,Friendly
2021-06-17,Senegal,Poland,2,0,Continental Cup
2021-06-18,Japan,Jordan,1,2,WC Qualifier
2021-06-19,Senegal,Nigeria,1,2,Continental Cup
2021-06-20,Panama,New Zealand,2,0,Friendly
2021-06-21,Belgium,United States,1,2,Friendly
2021-06-21,Ukraine,Egypt,1,1,WC Qualifier
2021-06-22,Jordan,Japan,1,2,Nations League
2021-06-23,Uzbekistan,Saudi Arabia,4,3,WC Qualifier
2021-06-24,Curacao,Morocco,0,2,Continental Cup
2021-06-25,France,Australia,1,0,WC Qualifier
2021-06-26,Germany,Chile,2,1,Friendly
2021-06-27,Australia,Croatia,2,2,Friendly
2021-06-28,France,Nigeria,2,2,Continental Cup
2021-06-29,Portugal,Costa Rica,2,1,WC Qualifier
2021-06-30,Uzbekistan,Cape Verde,2,1,Friendly
2021-06-30,Japan,Scotland,3,1,Friendly
2021-07-01,Turkey,Canada,2,1,Continental Cup
2021-07-02,South Korea,Portugal,0,4,WC Qualifier
2021-07-03,Canada,Ukraine,3,3,WC Qualifier
2021-07-04,Morocco,Canada,3,4,Continental Cup
2021-07-05,Spain,Poland,2,3,Nations League
2021-07-06,Wales,Australia,4,2,Continental Cup
2021-07-07,Tunisia,France,1,2,WC Qualifier
2021-07-08,Tunisia,Canada,1,2,Nations League
2021-07-09,Serbia,Portugal,6,5,WC Qualifier
2021-07-10,Senegal,Serbia,1,2,Friendly
2021-07-10,Argentina,Serbia,2,0,Friendly
